offer_id,date,date_iso,price,price_clean,change,change_clean,is_increase
310070287,27 янв 2025,2025-01-27 00:00:00,90 000 ₽/мес.,90000,5 000 ₽,-5000,False
310070287,20 янв 2025,2025-01-20 00:00:00,95 000 ₽/мес.,95000,5 000 ₽,-5000,False
310070287,18 ноя 2024,2024-11-18 00:00:00,100 000 ₽/мес.,100000,,,False
309980505,1 апр 2025,2025-04-01 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,-5000,False
309980505,21 дек 2024,2024-12-21 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,+5000,True
309980505,20 дек 2024,2024-12-20 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,-5000,False
309980505,9 дек 2024,2024-12-09 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
309980505,19 ноя 2024,2024-11-19 00:00:00,85 000 ₽/мес.,85000,5 000 ₽,+5000,True
309980505,19 ноя 2024,2024-11-19 00:00:00,80 000 ₽/мес.,80000,10 000 ₽,-10000,False
309980505,15 ноя 2024,2024-11-15 00:00:00,90 000 ₽/мес.,90000,,,False
309082584,Сегодня,2025-04-11 00:00:00,87 000 ₽/мес.,87000,3 000 ₽,-3000,False
309082584,4 апр 2025,2025-04-04 00:00:00,90 000 ₽/мес.,90000,2 000 ₽,-2000,False
309082584,2 апр 2025,2025-04-02 00:00:00,92 000 ₽/мес.,92000,1 000 ₽,-1000,False
309082584,28 мар 2025,2025-03-28 00:00:00,93 000 ₽/мес.,93000,2 000 ₽,-2000,False
309082584,25 окт 2024,2024-10-25 00:00:00,95 000 ₽/мес.,95000,,,False
308782939,3 фев 2025,2025-02-03 00:00:00,78 000 ₽/мес.,78000,2 000 ₽,-2000,False
308782939,22 янв 2025,2025-01-22 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
308782939,18 ноя 2024,2024-11-18 00:00:00,85 000 ₽/мес.,85000,3 000 ₽,-3000,False
308782939,21 окт 2024,2024-10-21 00:00:00,88 000 ₽/мес.,88000,2 000 ₽,-2000,False
308782939,18 окт 2024,2024-10-18 00:00:00,90 000 ₽/мес.,90000,,,False
308110692,2 апр 2025,2025-04-02 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,-5000,False
308110692,3 окт 2024,2024-10-03 00:00:00,80 000 ₽/мес.,80000,,,False
308078908,10 апр 2025,2025-04-10 00:00:00,65 000 ₽/мес.,65000,2 000 ₽,+2000,True
308078908,10 апр 2025,2025-04-10 00:00:00,63 000 ₽/мес.,63000,1 000 ₽,+1000,True
308078908,10 апр 2025,2025-04-10 00:00:00,62 000 ₽/мес.,62000,3 000 ₽,-3000,False
308078908,7 окт 2024,2024-10-07 00:00:00,65 000 ₽/мес.,65000,5 000 ₽,+5000,True
308078908,3 окт 2024,2024-10-03 00:00:00,60 000 ₽/мес.,60000,,,False
307385396,30 мар 2025,2025-03-30 00:00:00,65 000 ₽/мес.,65000,5 000 ₽,-5000,False
307385396,26 янв 2025,2025-01-26 00:00:00,70 000 ₽/мес.,70000,5 000 ₽,-5000,False
307385396,23 сен 2024,2024-09-23 00:00:00,75 000 ₽/мес.,75000,5 000 ₽,-5000,False
307385396,16 сен 2024,2024-09-16 00:00:00,80 000 ₽/мес.,80000,,,False
307209504,23 мар 2025,2025-03-23 00:00:00,80 000 ₽/мес.,80000,5 000 ₽,-5000,False
307209504,11 сен 2024,2024-09-11 00:00:00,85 000 ₽/мес.,85000,,,False
307124597,24 янв 2025,2025-01-24 00:00:00,60 000 ₽/мес.,60000,5 000 ₽,-5000,False
307124597,21 янв 2025,2025-01-21 00:00:00,65 000 ₽/мес.,65000,5 000 ₽,-5000,False
307124597,19 янв 2025,2025-01-19 00:00:00,70 000 ₽/мес.,70000,10 000 ₽,+10000,True
307124597,11 сен 2024,2024-09-11 00:00:00,60 000 ₽/мес.,60000,56 300 ₽,+56300,True
307124597,10 сен 2024,2024-09-10 00:00:00,3 700 ₽/мес.,3700,,,False
305903609,11 янв 2025,2025-01-11 00:00:00,60 000 ₽/мес.,60000,5 000 ₽,-5000,False
305903609,6 янв 2025,2025-01-06 00:00:00,65 000 ₽/мес.,65000,62 300 ₽,+62300,True
305903609,26 сен 2024,2024-09-26 00:00:00,2 700 ₽/мес.,2700,200 ₽,+200,True
