offer_id,has_refrigerator,has_dishwasher,has_washing_machine,has_air_conditioner,has_tv,has_internet,has_kitchen_furniture,has_room_furniture,has_bathtub,has_shower_cabin
315909802,False,False,True,False,False,True,False,True,False,False
315907723,False,False,True,True,False,True,False,True,False,True
315905856,True,False,True,False,True,True,True,True,False,True
315904837,True,False,True,False,True,True,True,True,True,False
315904699,False,False,True,False,False,True,False,True,False,True
315900473,True,False,True,True,True,True,True,True,False,True
315900371,True,False,True,True,True,True,True,True,True,False
315897929,True,True,True,True,True,True,True,True,True,False
315897325,True,True,True,True,True,True,True,False,True,False
315890062,True,False,True,False,True,True,True,True,False,True
315890014,True,False,True,True,True,True,True,True,True,False
315881468,True,False,True,True,True,True,True,True,True,False
315880197,True,False,True,False,False,True,False,False,True,False
315876270,False,False,False,True,False,True,False,False,False,False
315867597,False,False,False,False,False,False,False,True,False,False
315858476,True,True,True,False,False,False,True,True,True,False
315855902,True,True,True,True,True,False,True,True,False,False
315855718,True,False,True,False,True,True,True,True,True,False
315855629,True,True,True,True,False,True,True,True,True,False
315850008,True,False,True,True,True,True,True,True,True,False
315833677,True,False,True,True,True,True,True,True,False,True
315827935,True,False,True,True,True,True,True,True,True,False
315821066,True,True,True,True,False,True,True,True,True,False
315820540,True,True,True,True,True,True,True,True,True,False
315816443,True,True,True,False,True,True,True,True,True,False
315816180,True,True,True,False,False,True,False,True,True,False
315812551,True,False,True,False,False,True,True,True,False,True
315810088,True,True,True,True,True,True,True,True,False,True
315809659,True,True,True,False,False,True,True,True,True,False
316036297,True,False,True,True,True,True,True,True,True,False
314897737,False,False,True,False,False,True,False,True,True,False
315607887,True,False,True,True,True,True,True,True,False,True
315910228,True,False,True,False,True,True,True,True,False,True
313864937,True,True,True,True,True,True,True,True,True,False
315749276,True,True,True,False,True,True,True,True,True,False
303110798,True,False,False,False,False,True,True,True,True,False
314329494,True,True,True,True,True,True,True,True,True,False
315904699,False,False,True,False,False,True,False,True,False,True
315809659,True,True,True,False,False,True,True,True,True,False
315905263,True,False,True,False,False,True,True,True,True,False
314746074,True,False,True,True,False,False,False,False,True,False
312685160,True,True,True,True,True,True,True,True,False,True
314971556,True,False,True,False,False,True,True,True,False,False
299140598,True,False,True,False,True,True,True,True,False,True
315648902,True,False,True,True,True,False,True,True,True,False
284081870,True,False,True,False,False,False,True,True,True,False
299794333,True,False,True,False,True,True,True,True,True,False
276398314,True,False,True,False,True,True,True,True,False,True
315774297,True,True,True,True,True,True,True,True,True,False
311802061,True,False,True,False,True,False,True,True,True,False
272160985,False,False,False,False,False,False,True,True,False,False
314373441,True,False,True,True,True,True,True,True,False,True
307385396,True,False,True,True,True,True,True,True,True,False
298732542,True,False,True,False,True,True,True,True,True,False
314875890,True,False,True,False,True,True,True,True,True,False
315935156,True,True,True,True,True,True,True,True,True,False
313547286,True,False,True,False,True,True,True,True,False,True
316060615,False,False,True,False,False,True,False,True,False,True
315665458,True,False,True,True,True,True,True,True,True,False
167530364,True,True,True,True,False,False,True,True,True,False
254057776,True,False,True,False,True,True,True,True,True,False
315614690,True,True,True,False,True,True,True,True,False,False
314327404,True,False,True,False,False,True,True,True,True,False
315890062,True,False,True,False,True,True,True,True,False,True
312606307,True,False,False,True,False,False,False,False,False,False
